Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Alabaminella sp.,Alabaminella weddellensis,Angulogerina fluens,Astacolus sp.,Astrononion sp.,Astrorhiza sp.,Baggina philippinensis,Bolivina alata,Bolivina decussata,Bolivina pacifica,Bolivina sp.,Bolivina spathulata,Bolivina spissa,Bolivina spp.,Botellina labyrinthica,Brizalina earlandi,Brizalina pygmaea,Buccella frigida,Buccella inusitata,Buccella sp.,Buccella spp.,Bulimina sp.,Bulimina striata,Buliminella elegantissima,Buliminella sp.,Buliminella tenuata,Cassidulina californica,Cassidulina cushmani,Cassidulina laevigata var. carinata,Cassidulina mexicana,Cassidulina sp.,Cassidulina teretis,Cassidulina translucens,Cassidulinoides cornuta,Cassidulinoides parkerianus,Cassidulinoides tenuis,Chilostomella oolina,Chilostomellina frimbriata,Cibicides fletcheri,Cibicides lobatulus,Cibicides mckannai,Cibicides sp.,Cibicides spiralis,Cibicides spp.,Cibicidoides mundulus,Cibicidoides sp.,Cibicidoides subhaidingerii,Cribrostomoides jeffreysii,Cribrostomoides subglobosus,Cyclammina cancellata,Dentalina sp.,Dentalinoides sp.,Discorbis sp.,Dorothia pseudofiliformis,Eggerella advena,Eggerella bradyi,Ehrenbergina sp.,Eilohedra vitrea,Elphidiella sp.,Elphidiellia groenlandica,Elphidium bartletti,Elphidium batialis,Elphidium clavatum,Elphidium excavatum,Elphidium frigidum,Elphidium hughesi,Elphidium sp.,Elphidium spp.,Epistominella pacifica,Epistominella pulchella,Epistominella sp.,Epistominella vitrea,Eponides healdi,Eponides sp.,Eubuliminella exilis,Fissurina lucida,Fissurina sp.,Fursenkoina bradyi,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidina gemma,Gyroidina lamarckiana,Gyroidina spp.,Gyroidinoides soldanii,Gyroidinoides sp.,Haplophragmoides sp.,Haynesina sp.,Hormosinella guttifera,Hyalinonetrion gracillima,Hyperammina sp.,Ioanella sp.,Islandiella norcrossi,Islandiella sp.,Karreriella baccata,Karreriella parkerae,Laevidentalina advena,Lagena elongata,Lagena gracilis,Lagena laevis,Lagena meridionalis,Lagena sp.,Lagena spp.,Lagena striata,Laticarinina pauperata,Lenticulina sp.,Lenticulina spp.,Liebusella soldanii,Martinottiella communis,Melonis barleeanus,Melonis pompilioides,Neugeborina longiscata,Nodosaria aff. pyrula,Nodosaria sp.,Nonion sp.,Nonionella labradorica,Nonionella pulchella,Nonionella sp.,Nonionella spp.,Nonionella turgida,Nonionella turgida digitata,Oolina globosa,Oolina laevigata,Oolina sp.,Oolina spp.,Oridorsalis sp.,Oridorsalis umbonatus,Paratrochammina challengeri,Planulina ariminensis,Planulina wuellerstorfi,Plectofrondicularia sp.,Pleurostomella alternans,Portatrochammina karica,Psammosphaera fusca,Pseudononion auricula,Pullenia bulloides,Pullenia salisburyi,Pullenia sp.,Pygmaeoseistron hispidum,Pyrgo sp.,Pyrgo spp. N/A,Quinqueloculina sp.,Quinqueloculina stalkeri,Reophax dentaliniformis,Reophax pilulifer,Reophax sp.,Reussella sp.,Rhabdammina sp.,Rhizammina algaeformis,Saccammina sp.,Sigmoilina distorta,Sigmoilinita sp.,Sphaeroidina bulloides,Spiroculina sp.,Stainforthia fusiformis,Stainforthia sp.,Subreophax aduncus,Takayanagia delicata,Trichohyalus ornatissimus,Trifarina angulosa,Trifarina sp.,Triloculina sp.,Triloculina trihedra,Trochammina globigeriniformis,Trochammina globorotaliformis,Trochammina sp.,Uvigerina akitaensis,Uvigerina auberiana,Uvigerina cf. proboscidea,Uvigerina juncea,Uvigerina peregrina,Uvigerina senticosa,Uvigerina sp.,Uvigerina spp.,Valvulineria sp.,Veleroninoides sp.,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1418C-1H-CC-PAL,0,5,8.62,8.67,G [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,CC,PAL
341-U1418C-3H-CC-PAL,0,6,27.18,27.24,G [P20],F [A40],,R [A21],,,,,,,,,,,,,,,,,,,,,,P [A21],,,,D [A21],,,,P [A21],,,,,,,,,,,,R [A21],,,,,,,,,,,,,,R [A21],,,,,,,,,,P [A21],,,,,,,P [A21],,,,R [A21],,P [A21],,,,,,,P [A21],,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,P [A21],,,,,F [A21],,,,,,,,,P [A21],,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,341,U1418,C,3,H,CC,PAL
341-U1418C-5H-CC-PAL,0,5,46.9,46.95,G [P20],F [A40],,A [A21],,,,,,,,,,,,F [A21],,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,P [A21],,P [A21],,,,,,,,,,,,,,,,,,,R [A21],,,P [A21],,,,,R [A21],,,,,F [A21],,,,,,,,,P [A21],,,,,,,,,,,R [A21],,R [A21],,,,,,,,,,,,,,,,,,A [A21],,,,,,,R [A21],P [A21],,,,,,,P [A21],,,,,,,,,,341,U1418,C,5,H,CC,PAL
341-U1418C-7H-CC-PAL,0,5,64.09,64.14,G [P20],R [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,R [A21],P [A21],,,,,,,,,,P [A21],,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,R [A21],,,,,,,,,,,,,,,,,,341,U1418,C,7,H,CC,PAL
341-U1418C-9H-CC-PAL,0,5,72.21,72.26,M [P20],F [A40],,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,P [A21],,,,,,,,,,,,,,,,,,341,U1418,C,9,H,CC,PAL
341-U1418C-11H-CC-PAL,0,5,82.35,82.4,P [P20],R [A40],,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,P [A21],,R [A21],,R [A21],,,,,P [A21],,,,,,,,,,,,,P [A21],,,P [A21],,,,,R [A21],,,P [A21],,,,,R [A21],,,,,A [A21],,,,,,,,,P [A21],,,,,,,,,,,F [A21],,A [A21],,,,,,,,,,,,,,,,,,A [A21],,,,,,,F [A21],P [A21],,,,,,,P [A21],,,P [A21],,,,,,,341,U1418,C,11,H,CC,PAL
341-U1418C-13H-CC-PAL,0,5,91.83,91.88,P [P20],R [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,R [A21],,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,13,H,CC,PAL
341-U1418C-15H-CC-PAL,0,5,101.15,101.2,M [P20],R [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,P [A21],,,,,,,,,,341,U1418,C,15,H,CC,PAL
341-U1418C-17H-CC-PAL,0,5,110.55,110.6,P [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,R [A21],,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,17,H,CC,PAL
341-U1418C-19H-CC-PAL,0,5,118.18,118.23,g [P20],R [A40],,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A21],P [A21],,,,,,,,P [A21],P [A21],,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,pebbles,,,,341,U1418,C,19,H,CC,PAL
341-U1418C-21H-7-PAL,0,30,136.93,137.23,m [P20],R [A40],,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,R [A21],,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,R [A21],,,,,,,,,,,,,,"pebbles, light brown planktonics",,,,341,U1418,C,21,H,7,PAL
341-U1418C-23H-CC-PAL,0,5,155.32,155.37,p [P20],R [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,F [A21],R [A21],,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,A [A21],,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pebbles, ""orange"" rocks, echinoderm spines, sponge spicules",,,,341,U1418,C,23,H,CC,PAL
341-U1418C-25H-CC-PAL,0,7,174.02,174.09,P [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,F [A21],F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,25,H,CC,PAL
341-U1418C-27H-CC-PAL,0,5,191.88,191.93,p [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,F [A21],,,,F [A21],F [A21],,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,P [A21],,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,27,H,CC,PAL
341-U1418C-29H-6-PAL,0,10,209.59,209.69,m [P20],F [A40],,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,F [A21],,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,"coarse sand, few pebbles",,,,341,U1418,C,29,H,6,PAL
341-U1418C-31H-5-PAL,0,10,224.43,224.53,p [P20],G,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pebbles, echinoderm spines, molluscan shell fragments",,,,341,U1418,C,31,H,5,PAL
